Word	FREQcount 	CDcount 	FREQlow 	Cdlow	SUBTLWF	Lg10WF
여전히	6983					3.8441
위해서	6954					3.8423
일	6923					3.8404
집	6908					3.8394
각종	6889					3.8382
대로	6862					3.8365
비해	6854					3.8360
반드시	6854					3.8360
일본의	6844					3.8354
나온	6835					3.8348
타고	6831					3.8345
대해서	6829					3.8344
안에	6807					3.8330
따른	6769					3.8306
못하는	6768					3.8305
점을	6761					3.8301
말할	6758					3.8299
늘	6751					3.8294
중심으로	6750					3.8294
등으로	6745					3.8290
점에서	6737					3.8285
않다.	6734					3.8283
주고	6647					3.8227
여기서	6639					3.8222
마음을	6626					3.8213
아무	6620					3.8209
필요가	6599					3.8195
관심을	6583					3.8185
대하여	6576					3.8180
한국의	6541					3.8157
한다고	6531					3.8150
그동안	6528					3.8148
뿐	6525					3.8146
정부의	6494					3.8126
시작했다.	6472					3.8111
역할을	6454					3.8099
이것이	6447					3.8094
보니	6446					3.8094
되지	6421					3.8077
받아	6408					3.8068
과연	6384					3.8052
남아	6377					3.8047
아직도	6377					3.8047
나도	6365					3.8039
나라	6344					3.8024
오후	6324					3.8011
합니다.	6321					3.8009
쓴	6318					3.8006
만한	6315					3.8004
아니면	6299					3.7993
사회	6299					3.7993
말은	6292					3.7989
나서	6262					3.7968
시간이	6262					3.7968
살고	6245					3.7956
지금까지	6239					3.7952
삶의	6236					3.7950
쓰는	6226					3.7943
예를	6223					3.7941
혼자	6221					3.7939
갈	6215					3.7935
사람들의	6199					3.7924
불구하고	6199					3.7924
힘을	6195					3.7921
항상	6188					3.7916
하면서	6187					3.7916
깊은	6168					3.7902
있는데	6154					3.7892
있지만	6153					3.7892
완전히	6112					3.7863
"아니라,"	6097					3.7852
사회적	6063					3.7828
왔다.	6063					3.7828
말한다.	6039					3.7810
하기	6034					3.7807
먹고	6029					3.7803
가능성이	6027					3.7802
향해	6025					3.7800
아는	6001					3.7783
했던	5984					3.7771
집을	5960					3.7753
흔히	5957					3.7751
잠시	5944					3.7742
있어야	5943					3.7741
나오는	5938					3.7737
어디	5928					3.7730
글을	5928					3.7730
간	5912					3.7718
없고	5900					3.7709
참	5875					3.7691
와서	5863					3.7682
만드는	5862					3.7681
경우가	5850					3.7672
실제로	5847					3.7670
정부가	5829					3.7657
모르는	5821					3.7651
정부는	5812					3.7644
"것""이라고"	5812					3.7644
있으면	5809					3.7642
의미를	5801					3.7636
말하는	5794					3.7631
마음이	5791					3.7628
보인다.	5791					3.7628
이상의	5782					3.7622
바	5755					3.7601
아니었다.	5753					3.7600
듯한	5753					3.7600
정치적	5729					3.7582
지	5726					3.7579
입을	5725					3.7579
듣고	5718					3.7573
"있는데,"	5689					3.7551
것이라는	5687					3.7550
있음을	5684					3.7547
자주	5659					3.7528
사회의	5600					3.7483
내용을	5592					3.7476
마지막	5575					3.7463
때마다	5574					3.7462
일단	5572					3.7461
그래도	5566					3.7456
그러므로	5549					3.7443
책을	5535					3.7432
과정에서	5526					3.7425
일이다.	5517					3.7418
개의	5484					3.7392
언제나	5469					3.7380
있으며	5457					3.7370
1	5415					3.7337
주요	5411					3.7334
그러면	5407					3.7330
대통령	5397					3.7322
개	5394					3.7320
그게	5377					3.7306
것에	5374					3.7304
자리를	5371					3.7301
보이지	5366					3.7297
모른다.	5347					3.7282
자신을	5314					3.7255
어린	5311					3.7253
관련	5308					3.7250
같았다.	5303					3.7246
지금은	5300					3.7244
없다고	5296					3.7240
그럴	5295					3.7239
"있다""고"	5290					3.7235
거	5264					3.7214
빨리	5255					3.7207
눈이	5253					3.7205
그들이	5246					3.7199
밝혔다.	5219					3.7177
뒤에	5217					3.7175
많다.	5216					3.7174
받는	5210					3.7169
하루	5201					3.7162
이처럼	5196					3.7158
이름을	5195					3.7157
찾아	5157					3.7125
올해	5156					3.7124
여기에	5146					3.7116
그러니까	5138					3.7109
뿐만	5125					3.7098
듯이	5124					3.7097
열린	5121					3.7094
쓰고	5088					3.7066
시간을	5070					3.7051
경제	5069					3.7050
벌써	5060					3.7042
문을	5047					3.7031
이제는	5038					3.7023
나라의	5033					3.7019
남의	5029					3.7016
이른바	5028					3.7015
"""
"	5026					3.7013
학교	5020					3.7008
별로	5019					3.7007
않게	4999					3.6990
얘기를	4987					3.6979
아무런	4984					3.6977
결과	4980					3.6973
살아	4980					3.6973
"것,"	4977					3.6971
경우는	4973					3.6967
쪽으로	4962					3.6957
보였다.	4961					3.6957
앞서	4953					3.6950
생각해	4949					3.6946
비록	4937					3.6936
정부	4924					3.6924
대부분	4920					3.6921
관계를	4919					3.6920
등은	4917					3.6918
물을	4912					3.6913
속으로	4894					3.6898
끝에	4894					3.6898
관계자는	4875					3.6881
어머니는	4874					3.6880
때에는	4868					3.6874
요즘	4850					3.6858
머리를	4839					3.6848
얼마	4774					3.6790
곳에	4757					3.6774
새로	4748					3.6766
노	4740					3.6759
따르면	4737					3.6756
좀더	4723					3.6743
중에서	4720					3.6740
자기의	4718					3.6738
그렇지	4715					3.6736
긴	4715					3.6736
오래	4714					3.6735
중에	4713					3.6734
북한	4713					3.6734
경우에는	4710					3.6731
분명히	4702					3.6724
말고	4687					3.6710
아니	4681					3.6704
그녀가	4675					3.6699
2	4669					3.6693
않아	4666					3.6690
죽은	4640					3.6666
그저	4635					3.6661
전체	4632					3.6659
그렇다면	4631					3.6658
뜻을	4627					3.6654
삶을	4618					3.6645
밖에	4611					3.6639
돈	4611					3.6639
아마	4603					3.6631
대상으로	4601					3.6629
무엇을	4595					3.6624
자체가	4584					3.6613
처음으로	4581					3.6611
없어	4573					3.6603
점점	4572					3.6602
사실은	4555					3.6586
집으로	4539					3.6571
얼굴이	4538					3.6570
하게	4526					3.6558
말이다.	4523					3.6555
이것을	4517					3.6549
못할	4507					3.6540
때까지	4502					3.6535
이유는	4484					3.6518
밖으로	4469					3.6503
아름다운	4461					3.6495
받을	4453					3.6488
아니고	4444					3.6479
뭐	4442					3.6477
아래	4436					3.6471
것.	4431					3.6466
단	4419					3.6454
문제에	4410					3.6445
만에	4406					3.6441
열심히	4401					3.6437
대통령이	4398					3.6434
비슷한	4390					3.6426
때가	4387					3.6423
있다면	4384					3.6420
강한	4384					3.6420
하나는	4379					3.6415
못했다.	4373					3.6409
사이의	4372					3.6408
대통령의	4368					3.6404
대학	4360					3.6396
시작한	4358					3.6394
?	4357					3.6393
그리	4349					3.6385
조선	4339					3.6375
일반	4332					3.6368
자기가	4315					3.6351
그건	4313					3.6349
때에	4312					3.6348
후에	4308					3.6344
가고	4291					3.6327
3	4289					3.6325
하더라도	4284					3.6320
들었다.	4276					3.6311
인해	4275					3.6310
쓸	4273					3.6308
가까운	4266					3.6301
어머니가	4265					3.6300
보여	4265					3.6300
준	4263					3.6298
속의	4260					3.6295
통한	4249					3.6284
힘이	4248					3.6283
대부분의	4224					3.6258
충분히	4221					3.6255
비로소	4216					3.6250
만약	4216					3.6250
"않았다.
"	4213					3.6247
방법을	4207					3.6241
거쳐	4204					3.6238
때의	4199					3.6232
의하여	4199					3.6232
시대의	4199					3.6232
가	4177					3.6210
말에	4172					3.6204
반면	4171					3.6203
순간	4168					3.6200
자리에	4163					3.6195
인터넷	4155					3.6187
통하여	4153					3.6185
오전	4140					3.6171
제일	4138					3.6169
된다는	4131					3.6162
내게	4124					3.6154
정도의	4119					3.6149
어찌	4118					3.6148
시간	4115					3.6145
통해서	4113					3.6143
돼	4113					3.6143
단지	4111					3.6141
인간	4097					3.6126
거야.	4094					3.6123
영화	4086					3.6114
길이	4067					3.6094
너무나	4057					3.6083
현대	4040					3.6065
보이고	4037					3.6062
'	4030					3.6054
보통	4026					3.6050
이같은	4019					3.6042
실제	4011					3.6034
문제	4010					3.6033
생각하는	3993					3.6014
여자가	3989					3.6010
사람도	3983					3.6003
모두가	3974					3.5993
아버지는	3968					3.5987
보았다.	3967					3.5986
때도	3965					3.5984
"없었다.
"	3959					3.5977
미리	3958					3.5976
민주당	3948					3.5965
아이들이	3944					3.5960
더불어	3944					3.5960
점이	3928					3.5943
커다란	3926					3.5941
월드컵	3922					3.5936
겨우	3914					3.5927
아버지가	3896					3.5907
하나가	3894					3.5905
대통령은	3892					3.5903
그에	3872					3.5880
전화를	3869					3.5877
안에서	3869					3.5877
차이가	3858					3.5865
경우도	3856					3.5862
수많은	3854					3.5860
"봅시다.
"	3854					3.5860
기능을	3850					3.5856
생활을	3844					3.5849
밤	3844					3.5849
컴퓨터	3840					3.5844
이들의	3836					3.5840
뿐이다.	3821					3.5823
비롯한	3820					3.5822
만일	3815					3.5816
모습이	3808					3.5808
결과를	3806					3.5806
국민의	3799					3.5798
1.	3799					3.5798
고	3797					3.5796
그렇다고	3794					3.5792
따로	3793					3.5791
미	3792					3.5790
술을	3791					3.5789
나머지	3788					3.5785
들어가	3787					3.5784
가능한	3785					3.5782
알게	3782					3.5778
손에	3775					3.5770
바람에	3765					3.5759
만나	3758					3.5751
상당히	3753					3.5745
마침내	3749					3.5740
중국의	3748					3.5739
놓은	3747					3.5738
정보를	3744					3.5735
오랜	3742					3.5732
남은	3741					3.5731
본다.	3739					3.5729
2.	3731					3.5719
일에	3722					3.5709
말해	3718					3.5704
마찬가지로	3718					3.5704
프랑스	3717					3.5703
깊이	3713					3.5698
어떠한	3711					3.5696
세상을	3710					3.5695
갖는	3698					3.5681
구체적인	3696					3.5678
든	3696					3.5678
아무도	3692					3.5674
엄청난	3691					3.5673
약간	3690					3.5671
지금도	3683					3.5663
그것도	3680					3.5660
"같다.
"	3674					3.5653
관련된	3673					3.5651
옷을	3672					3.5650
위에서	3667					3.5644
아침	3663					3.5640
없었던	3661					3.5637
산	3659					3.5635
있으나	3646					3.5619
아예	3639					3.5611
걸쳐	3635					3.5606
적어도	3633					3.5604
와	3625					3.5594
지역	3621					3.5589
19일	3617					3.5585
다소	3603					3.5568
집에서	3603					3.5568
그만	3594					3.5557
먹는	3591					3.5553
참으로	3587					3.5549
과정을	3586					3.5547
아닐	3581					3.5541
세상에	3578					3.5538
여자는	3575					3.5534
빠져	3567					3.5524
더구나	3559					3.5514
차	3553					3.5507
그걸	3552					3.5506
여기	3543					3.5495
하다.	3541					3.5492
보지	3535					3.5485
"있지만,"	3534					3.5484
말도	3534					3.5484
물	3532					3.5481
말하고	3530					3.5479
9일	3530					3.5479
"있습니다.
"	3528					3.5477
경기	3528					3.5477
매일	3527					3.5475
일도	3524					3.5472
옆에	3523					3.5470
생각하고	3515					3.5460
그에게	3513					3.5458
사람들을	3512					3.5457
오늘날	3512					3.5457
말았다.	3501					3.5443
단순한	3490					3.5429
하는데	3489					3.5428
말한	3473					3.5408
아버지의	3472					3.5407
내는	3471					3.5406
그만큼	3467					3.5401
잡고	3466					3.5400
손으로	3466					3.5400
달	3463					3.5396
생긴	3463					3.5396
지닌	3460					3.5392
어쩌면	3459					3.5391
왜냐하면	3457					3.5388
정치	3441					3.5368
어머니의	3435					3.5361
사랑을	3434					3.5359
먼	3432					3.5357
여자	3431					3.5355
일정한	3428					3.5352
책임을	3423					3.5345
입장을	3413					3.5333
만난	3403					3.5320
써	3402					3.5319
물었다.	3393					3.5307
그리하여	3393					3.5307
북한의	3393					3.5307
위의	3391					3.5305
변화를	3388					3.5301
이유로	3387					3.5299
도움이	3385					3.5297
맞는	3384					3.5296
사실이	3381					3.5292
낮은	3380					3.5290
이때	3377					3.5287
"되었다.
"	3376					3.5285
평균	3372					3.5280
적은	3371					3.5279
""""	3370					3.5278
자리에서	3370					3.5278
누구나	3364					3.5270
없게	3359					3.5263
데리고	3356					3.5260
빈	3350					3.5252
인간이	3349					3.5250
게다가	3348					3.5249
"""이"	3347					3.5248
원래	3344					3.5244
전국	3343					3.5243
"보인다.
"	3338					3.5236
낸	3337					3.5235
"것이었다.
"	3335					3.5232
명의	3330					3.5226
대체로	3328					3.5223
둔	3325					3.5219
29일	3325					3.5219
역사적	3325					3.5219
위로	3320					3.5213
"보자.
"	3318					3.5210
심각한	3315					3.5206
관계가	3314					3.5205
여성	3313					3.5204
아이가	3310					3.5200
가까이	3309					3.5198
인한	3304					3.5192
좋다.	3303					3.5190
의견을	3299					3.5185
준다.	3298					3.5184
다음에	3291					3.5175
돈이	3289					3.5172
넓은	3287					3.5169
나타나는	3285					3.5167
마음	3284					3.5165
아이들은	3279					3.5159
곳이	3278					3.5157
의해서	3277					3.5156
나에게	3272					3.5149
대	3271					3.5148
받지	3258					3.5131
마을	3257					3.5130
불을	3257					3.5130
하여금	3253					3.5124
열	3252					3.5123
그럼	3252					3.5123
뒤로	3242					3.5109
이들이	3233					3.5097
갔다.	3231					3.5095
"경우,"	3231					3.5095
언제	3231					3.5095
사실상	3229					3.5092
점이다.	3225					3.5087
주었다.	3223					3.5084
떨어진	3221					3.5081
가득	3220					3.5080
그와	3219					3.5079
입고	3215					3.5073
나왔다.	3215					3.5073
떨어져	3213					3.5070
중의	3208					3.5064
경우에	3207					3.5062
열고	3207					3.5062
6월	3203					3.5057
했지만	3199					3.5051
아파트	3195					3.5046
"하며,"	3195					3.5046
비교적	3194					3.5045
세계를	3193					3.5043
몸이	3192					3.5042
식으로	3187					3.5035
모여	3187					3.5035
거기에	3181					3.5027
"것입니다.
"	3179					3.5024
온갖	3174					3.5017
그러자	3174					3.5017
시	3173					3.5016
말로	3162					3.5001
어쩔	3161					3.5000
한나라당	3160					3.4998
3월	3153					3.4989
들	3151					3.4986
7월	3147					3.4980
저녁	3146					3.4979
내지	3145					3.4978
우리에게	3145					3.4978
14일	3140					3.4971
5월	3139					3.4969
관심이	3138					3.4968
아이를	3134					3.4962
그날	3125					3.4950
총	3123					3.4947
진정한	3122					3.4946
대표적인	3122					3.4946
자꾸	3118					3.4940
상황에서	3113					3.4933
"것이며,"	3113					3.4933
박	3111					3.4930
가슴이	3101					3.4916
모르고	3101					3.4916
지난달	3101					3.4916
차를	3100					3.4915
대개	3100					3.4915
현재의	3099					3.4914
개인의	3099					3.4914
짧은	3098					3.4912
오늘의	3095					3.4908
찾는	3093					3.4905
기업의	3091					3.4902
사실이다.	3088					3.4898
내년	3086					3.4895
일종의	3083					3.4891
8월	3080					3.4887
최고	3080					3.4887
24일	3077					3.4883
정	3075					3.4880
4월	3073					3.4877
국가	3069					3.4871
당장	3068					3.4870
지니고	3062					3.4861
오직	3057					3.4854
지나지	3054					3.4850
생각할	3048					3.4842
못해	3041					3.4832
단순히	3041					3.4832
아무것도	3039					3.4829
상당한	3037					3.4826
훌륭한	3036					3.4824
판	3033					3.4820
하던	3031					3.4817
멀리	3024					3.4807
없습니다.	3024					3.4807
기회를	3023					3.4806
우리나라	3022					3.4804
적지	3019					3.4800
만	3015					3.4794
의미가	3015					3.4794
있었습니다.	3014					3.4793
널리	3014					3.4793
버리고	3012					3.4790
상황을	3011					3.4789
네가	3011					3.4789
막	3010					3.4787
먹을	3002					3.4776
작품을	2998					3.4770
강력한	2998					3.4770
안으로	2995					3.4765
바탕으로	2990					3.4758
이유가	2980					3.4744
마음에	2975					3.4736
아마도	2974					3.4735
문화	2972					3.4732
국제	2970					3.4729
물이	2962					3.4717
서서	2960					3.4714
들은	2956					3.4709
날이	2955					3.4707
옛	2951					3.4701
특별한	2951					3.4701
시대에	2949					3.4698
검은	2947					3.4695
며칠	2940					3.4685
활동을	2939					3.4683
사용하는	2937					3.4681
기존의	2934					3.4676
했습니다.	2933					3.4675
도대체	2933					3.4675
기자	2929					3.4669
과거	2926					3.4664
시를	2920					3.4655
나타난	2920					3.4655
있는지	2919					3.4654
생활	2918					3.4652
보기	2909					3.4639
년에	2906					3.4634
국민	2906					3.4634
방법으로	2903					3.4630
등과	2901					3.4627
둘	2897					3.4621
작년	2897					3.4621
그녀를	2894					3.4616
하나로	2884					3.4601
나가	2883					3.4600
이르는	2883					3.4600
생각했다.	2881					3.4597
3.	2880					3.4595
노래를	2880					3.4595
러시아	2877					3.4591
"없고,"	2877					3.4591
하나를	2876					3.4589
명이	2874					3.4586
있어서는	2871					3.4582
주지	2870					3.4580
아들	2870					3.4580
꿈을	2863					3.4570
받았다.	2863					3.4570
데서	2862					3.4568
말하자면	2862					3.4568
=	2862					3.4568
뒤를	2859					3.4564
그렇지만	2859					3.4564
현	2855					3.4558
역사를	2853					3.4555
점차	2851					3.4551
유명한	2848					3.4547
이번에는	2847					3.4545
대해서도	2847					3.4545
세계의	2845					3.4542
나올	2845					3.4542
별	2843					3.4539
일어나	2841					3.4536
당시의	2839					3.4533
데는	2837					3.4530
인간은	2836					3.4529
9월	2835					3.4527
장	2834					3.4526
경제적	2832					3.4522
나중에	2828					3.4516
"되고,"	2827					3.4515
"즉,"	2826					3.4513
면	2821					3.4506
생각은	2821					3.4506
때부터	2821					3.4506
겁니다.	2817					3.4499
여자의	2814					3.4495
기존	2809					3.4487
잘못	2809					3.4487
영국	2806					3.4482
아닌가	2804					3.4479
"있었고,"	2803					3.4478
곳에서	2803					3.4478
원하는	2802					3.4476
것만	2801					3.4475
성격을	2797					3.4468
낼	2793					3.4462
갖게	2793					3.4462
다섯	2791					3.4459
일반적으로	2789					3.4456
모를	2788					3.4454
보아	2788					3.4454
그림을	2787					3.4453
생각한다.	2786					3.4451
흰	2786					3.4451
그들	2785					3.4450
점은	2780					3.4442
눈	2779					3.4440
나가는	2779					3.4440
최고의	2778					3.4439
운동을	2774					3.4433
4	2773					3.4431
수를	2769					3.4425
아버지	2768					3.4423
기업	2755					3.4403
"하였다.
"	2752					3.4398
여성의	2751					3.4396
책은	2749					3.4393
이라크	2747					3.4390
열어	2742					3.4382
소위	2741					3.4381
교수는	2737					3.4374
사람들	2733					3.4368
나쁜	2731					3.4365
없지	2726					3.4357
효과를	2724					3.4354
넘는	2721					3.4349
좋아하는	2720					3.4347
아니라는	2718					3.4344
조금씩	2716					3.4341
나라를	2715					3.4339
이상한	2714					3.4338
문화의	2710					3.4331
"하지만,"	2710					3.4331
붉은	2699					3.4314
오랫동안	2697					3.4310
머리	2691					3.4301
방향으로	2691					3.4301
똑같은	2690					3.4299
부르는	2687					3.4294
국회	2685					3.4291
버린	2684					3.4289
상대로	2684					3.4289
차원에서	2683					3.4288
밥을	2683					3.4288
됐다.	2683					3.4288
능력을	2682					3.4286
없기	2677					3.4278
사람에게	2675					3.4275
이야기가	2673					3.4272
너	2673					3.4272
느낄	2671					3.4268
눈물을	2670					3.4267
않도록	2670					3.4267
방안을	2668					3.4263
입은	2666					3.4260
국가의	2666					3.4260
가능성을	2665					3.4259
안고	2664					3.4257
교육	2660					3.4250
곳은	2658					3.4247
이게	2657					3.4246
옛날	2655					3.4242
12월	2655					3.4242
않는다는	2653					3.4239
자동차	2651					3.4236
때로는	2647					3.4229
가끔	2647					3.4229
느낌을	2645					3.4226
적극	2644					3.4224
나누어	2642					3.4221
소리	2635					3.4209
한참	2635					3.4209
쉬운	2632					3.4205
바람이	2630					3.4201
문득	2630					3.4201
시장	2630					3.4201
역사의	2629					3.4200
끝난	2627					3.4196
만들	2626					3.4195
대단히	2623					3.4190
