V1,V2,V3,V4
weaksubj,간질간질하다,-1,negative
weaksubj,간질간질한,-1,negative
weaksubj,간질간질한 느낌,-1,negative
strongsubj,간편하거나,2,positive
strongsubj,간편하다,2,positive
weaksubj,갈강병균이,-1,negative
weaksubj,갈라서다,-1,negative
weaksubj,갈라지는 피부병,-1,negative
weaksubj,갈색굳음병,-1,negative
weaksubj,갈증이 나고,-1,negative
weaksubj,갈증이 심하게,-1,negative
weaksubj,갈팡질팡,-1,negative
weaksubj,갈팡질팡하다,-1,negative
weaksubj,갈팡질팡하며,-1,negative
weaksubj,갈피를 잡을 수 없다,-1,negative
weaksubj,갈피를 잡지 못하고,-1,negative
weaksubj,갈피를 잡지 못하고 이리저리 헤매는 모양,-1,negative
weaksubj,갈피를 잡지 못하는,-1,negative
weaksubj,갈피를 잡지 못하다,-1,negative
weaksubj,감각이 둔하고,-1,negative
weaksubj,감각이 마비되고,-1,negative
weaksubj,감각적이다,1,positive
weaksubj,감감히,-1,negative
strongsubj,감개무량하다,2,positive
strongsubj,감격,2,positive
strongsubj,감격성,2,positive
strongsubj,감격스럽다,2,positive
strongsubj,감격스레,2,positive
strongsubj,감격이,2,positive
strongsubj,감격적,2,positive
strongsubj,감격하다,2,positive
strongsubj,감격하여,2,positive
strongsubj,감금하여,-2,negative
weaksubj,감기,-1,negative
weaksubj,감기가,-1,negative
weaksubj,감기가 들어,-1,negative
weaksubj,감기나,-1,negative
weaksubj,감기나 천식,-1,negative
weaksubj,감기로,-1,negative
weaksubj,감기로 인하여,-1,negative
weaksubj,감당하다,1,positive
strongsubj,감동,2,positive
weaksubj,감동시킬,1,positive
weaksubj,감동시킬 만한,1,positive
strongsubj,감동을 받아,2,positive
strongsubj,감동을 일으킬,2,positive
strongsubj,감동을 주거나,2,positive
strongsubj,감동이,2,positive
strongsubj,감동이 되는,2,positive
strongsubj,감동이나,2,positive
strongsubj,감동이나 고마움을,2,positive
strongsubj,감동하는,2,positive
strongsubj,감동하다,2,positive
strongsubj,감동하여,2,positive
strongsubj,감동함,2,positive
strongsubj,감명되다,2,positive
strongsubj,감명적,2,positive
strongsubj,감명하다,2,positive
weaksubj,감모,1,positive
strongsubj,감미롭다,2,positive
weaksubj,감병,-1,negative
strongsubj,감복하다,2,positive
strongsubj,감복하여,2,positive
strongsubj,감사,2,positive
strongsubj,감사를 표하다,2,positive
strongsubj,감사하는,2,positive
strongsubj,감사하는 마음으로,2,positive
strongsubj,감사하다,2,positive
weaksubj,감싸고,1,positive
strongsubj,감싸고 달래다,0,neutral
weaksubj,감옥,-1,negative
weaksubj,감옥에,-1,negative
weaksubj,감정 사납게,-1,negative
weaksubj,감정을 건드려,-1,negative
strongsubj,감정의 불화,-2,negative
weaksubj,감정이 거칠어져,-1,negative
weaksubj,감정이 북받쳐,1,positive
strongsubj,감칠맛이 있을,2,positive
strongsubj,감탄,2,positive
strongsubj,감탄스러울,2,positive
strongsubj,감탄스러울 때,2,positive
strongsubj,감탄스럽다,2,positive
strongsubj,감탄적으로,2,positive
strongsubj,감탄하다,2,positive
strongsubj,감탄할,2,positive
strongsubj,감탄할 때,2,positive
strongsubj,감회가 새롭거나,2,positive
strongsubj,감회에 젖음,2,positive
weaksubj,갑갑궁금하다,-1,negative
weaksubj,갑갑하고 궁금하다,-1,negative
weaksubj,갑갑하다,-1,negative
weaksubj,갑갑한,-1,negative
weaksubj,갑갑한 증상,-1,negative
weaksubj,갑갑할,-1,negative
weaksubj,갑갑할 정도로,-1,negative
weaksubj,갑분띠,-1,negative
weaksubj,갑분싸,-1,negative
weaksubj,갑자기 게우는,-1,negative
weaksubj,갑자기 놀라거나,-1,negative
weaksubj,갑자기 놀라서,-1,negative
weaksubj,갑자기 무섭거나,-1,negative
weaksubj,갑자기 분별없이,-1,negative
weaksubj,갑자기 서늘한,-1,negative
weaksubj,갑자기 서늘한서늘한 느낌이,-1,negative
weaksubj,갑자기 성을,-1,negative
weaksubj,갑자기 소란스럽게,-1,negative
weaksubj,갑자기 소름이,-1,negative
weaksubj,갑자기 어지러워,-1,negative
weaksubj,갑작스러워 두렵거나,-1,negative
weaksubj,갑작스럽게 화를,-1,negative
strongsubj,값을 매길 수 없을 만큼,2,positive
strongsubj,값진,2,positive
strongsubj,강간죄,-2,negative
strongsubj,강개무량,-2,negative
strongsubj,강개무량하다,-2,negative
strongsubj,강구하다,0,neutral
weaksubj,강도가,-1,negative
weaksubj,강등하여,-1,negative
weaksubj,강렬하게,1,positive
weaksubj,강박,-1,negative
weaksubj,강박하여,-1,negative
weaksubj,강세,1,positive
weaksubj,강인하다,1,positive
strongsubj,강인한,2,positive
weaksubj,강제로,-1,negative
weaksubj,강제로 누르는,-1,negative
strongsubj,강제로 누르다,-2,negative
strongsubj,강제로 누름,-2,negative
weaksubj,강제로 빼앗는,-1,negative
weaksubj,강제로 빼앗다,-1,negative
strongsubj,강제로 빼앗아,-2,negative
weaksubj,강제로 빼앗음,-1,negative
weaksubj,강제로 요구하다,-1,negative
strongsubj,강제적으로,-2,negative
strongsubj,강추,2,positive
strongsubj,강탈,-2,negative
strongsubj,강탈하다,-2,negative
weaksubj,강퇴,-1,negative
weaksubj,강하게,1,positive
strongsubj,강하게 만들다,2,positive
weaksubj,강하게 하다,1,positive
weaksubj,강하고,1,positive
strongsubj,강하고 야무지게,2,positive
strongsubj,강하고 야무지다,2,positive
strongsubj,강하고 튼튼하게,2,positive
weaksubj,강하다,1,positive
strongsubj,강한 비판이나,-2,negative
weaksubj,강한 충격을,-1,negative
weaksubj,강화하다,1,positive
weaksubj,갖지 아니하게,-1,negative
weaksubj,갖추다,1,positive
weaksubj,갖추지 못한,-1,negative
weaksubj,같잖다,-1,negative
weaksubj,같잖아서,-1,negative
weaksubj,같잖아서 우스운,-1,negative
weaksubj,같잖은,-1,negative
weaksubj,같잖은 꼴로,-1,negative
weaksubj,갚지 않다,-1,negative
weaksubj,개가 무섭거나,-1,negative
weaksubj,개가 아프거나,-1,negative
strongsubj,개선,2,positive
strongsubj,개선 방도를,2,positive
weaksubj,개선하고,1,positive
strongsubj,개선하다,2,positive
strongsubj,개선함,2,positive
weaksubj,개성,1,positive
weaksubj,개성있는,1,positive
weaksubj,개성있다,1,positive
weaksubj,개운치 않거나,-1,negative
strongsubj,개운하게,2,positive
strongsubj,개운하고,2,positive
strongsubj,개운하고 시원한,2,positive
strongsubj,개운하고 홀가분해지다,2,positive
strongsubj,개운하다,2,positive
weaksubj,개운하지 않고,-1,negative
weaksubj,개으름을,-1,negative
strongsubj,개이득,2,positive
strongsubj,개짓하다,-2,negative
strongsubj,개회하다,0,neutral
weaksubj,갠소,1,positive
weaksubj,갸륵한,1,positive
weaksubj,갸륵한 데가,1,positive
weaksubj,갸름하다,1,positive
weaksubj,거꾸러뜨리다,-1,negative
weaksubj,거꾸로 넘어지거나,-1,negative
weaksubj,거두지 못한,-1,negative
weaksubj,거드럭거드럭,-1,negative
weaksubj,거드럭거리다,-1,negative
weaksubj,거들먹거들먹,-1,negative
weaksubj,거들먹거들먹하다,-1,negative
weaksubj,거들먹거리다,-1,negative
weaksubj,거들먹대다,-1,negative
weaksubj,거들먹이다,-1,negative
strongsubj,거듭 따뜻이,2,positive
weaksubj,거듭 죄를,-1,negative
strongsubj,거뜬하다,2,positive
weaksubj,거래가 금지된,-1,negative
strongsubj,거룩한,2,positive
strongsubj,거룩한 모습,2,positive
strongsubj,거룩한 사람,2,positive
weaksubj,거리끼어,-1,negative
weaksubj,거리낌 없이,1,positive
strongsubj,거만스럽게,-2,negative
strongsubj,거만을,-2,negative
strongsubj,거만을 떠는,-2,negative
strongsubj,거만을 떨다,-2,negative
strongsubj,거만하게,-2,negative
strongsubj,거만하게 행동하는,-2,negative
strongsubj,거만하게 행동하다,-2,negative
strongsubj,거만하고,-2,negative
strongsubj,거만하다,-2,negative
weaksubj,거만한,-1,negative
strongsubj,거만한 태도로,-2,negative
weaksubj,거무스름한 피고름이,-1,negative
weaksubj,거볍게 까부는,-1,negative
weaksubj,거볍게 성을,-1,negative
weaksubj,거볍게 채신없이,-1,negative
weaksubj,거볍게 행동하거나,-1,negative
weaksubj,거볍게 행동하는,-1,negative
weaksubj,거볍게 행동하다,-1,negative
strongsubj,거볍고 온화하게,2,positive
strongsubj,거부감,-2,negative
strongsubj,거부감 없이,2,positive
strongsubj,거부하거나,-2,negative
weaksubj,거부하다,-1,negative
strongsubj,거북스럽게,-2,negative
strongsubj,거북스럽게 저는,-2,negative
strongsubj,거북스럽게 절다,-2,negative
strongsubj,거북하거나,-2,negative
strongsubj,거북하거나 괴로움,-2,negative
strongsubj,거북하거나 괴롭다,-2,negative
strongsubj,거북하거나 더럽고,-2,negative
strongsubj,거북하게,-2,negative
strongsubj,거북하고,-2,negative
strongsubj,거북하고 불편한,-2,negative
strongsubj,거북하고 주체스럽게,-2,negative
strongsubj,거북하다,-2,negative
strongsubj,거북한,-2,negative
strongsubj,거북한 모양,-2,negative
strongsubj,거북한 상태로,-2,negative
strongsubj,거북한 소리가,-2,negative
strongsubj,거북할,-2,negative
strongsubj,거북할 만큼,-2,negative
weaksubj,거세고,-1,negative
weaksubj,거세고 급하다,-1,negative
weaksubj,거슬려,-1,negative
strongsubj,거슬려 불쾌하다,-2,negative
weaksubj,거슬리거나,-1,negative
weaksubj,거슬리거나 마음이,-1,negative
weaksubj,거슬리게,-1,negative
weaksubj,거슬리게 싫다,-1,negative
weaksubj,거슬리는,-1,negative
weaksubj,거슬리는 느낌이,-1,negative
weaksubj,거슬리다,-1,negative
strongsubj,거슬림이 없이,2,positive
weaksubj,거역하다,-1,negative
weaksubj,거역함,-1,negative
weaksubj,거의 없다,-1,negative
strongsubj,거절하거나,-2,negative
strongsubj,거절하거나 싫다는,-2,negative
strongsubj,거절하다,-2,negative
strongsubj,거짓,-2,negative
weaksubj,거짓 없다,1,positive
strongsubj,거짓말,-2,negative
weaksubj,거짓말을,-1,negative
weaksubj,거짓없다,1,positive
weaksubj,거짓으로,-1,negative
weaksubj,거짓으로 감정이나,-1,negative
weaksubj,거짓으로 꾸며서,-1,negative
weaksubj,거짓으로 꾸미는,-1,negative
weaksubj,거짓으로 꾸미다,-1,negative
weaksubj,거짓으로 꾸민,-1,negative
weaksubj,거짓으로 속이다,-1,negative
weaksubj,거짓으로 속임,-1,negative
strongsubj,거짓을 버리고,2,positive
strongsubj,거짓이 없고,2,positive
strongsubj,거짓이 없다,2,positive
strongsubj,거짓이 없이,2,positive
weaksubj,거짓이나,-1,negative
weaksubj,거추장스러워서,-1,negative
weaksubj,거추장스러워서 거슬리거나,-1,negative
weaksubj,거추장스럽거나,-1,negative
weaksubj,거추장스럽거나 성가시어,-1,negative
weaksubj,거추장스럽게,-1,negative
weaksubj,거추장스럽게 걸리거나,-1,negative
weaksubj,거추장스럽다,-1,negative
weaksubj,거추장스레,-1,negative
weaksubj,거치적거리는,-1,negative
weaksubj,거치적거리는 소리,-1,negative
weaksubj,거치적거치적,-1,negative
weaksubj,거치적거치적하다,-1,negative
strongsubj,거친,-2,negative
strongsubj,거친 데가,-2,negative
strongsubj,거친 말로,-2,negative
strongsubj,거친 모양,-2,negative
strongsubj,거친 목소리로,-2,negative
strongsubj,거친 성질이나,-2,negative
strongsubj,거친 소리가,-2,negative
strongsubj,거칠거나 사납게,-2,negative
strongsubj,거칠게,-2,negative
strongsubj,거칠게 나는,-2,negative
weaksubj,거칠게 된,-1,negative
strongsubj,거칠게 말다툼하다,-2,negative
strongsubj,거칠게 말함,-2,negative
strongsubj,거칠게 몰아쉬는,-2,negative
strongsubj,거칠게 몰아쉬다,-2,negative
strongsubj,거칠게 소리가,-2,negative
strongsubj,거칠게 쉬는,-2,negative
strongsubj,거칠게 울려,-2,negative
strongsubj,거칠게 일다,-2,negative
strongsubj,거칠게 잇따라,-2,negative
weaksubj,거칠게 행동하는,-1,negative
strongsubj,거칠게 행동하다,-2,negative
strongsubj,거칠고,-2,negative
strongsubj,거칠고 가쁘게,-2,negative
strongsubj,거칠고 격한,-2,negative
strongsubj,거칠고 깔끄럽게,-2,negative
strongsubj,거칠고 껄끄럽게,-2,negative
strongsubj,거칠고 나쁘다,-2,negative
strongsubj,거칠고 무뚝뚝하다,-2,negative
strongsubj,거칠고 사나우며,-2,negative
strongsubj,거칠고 세차다,-2,negative
strongsubj,거칠고 심하다,-2,negative
strongsubj,거칠고 험하게,-2,negative
strongsubj,거칠고 험한,-2,negative
strongsubj,거칠다,-2,negative
strongsubj,거칠면서,-2,negative
strongsubj,거칠면서 가쁘고,-2,negative
strongsubj,거칠어져,-2,negative
strongsubj,거침새가 없고,2,positive
weaksubj,거침없이,1,positive
weaksubj,거침이 없는,1,positive
strongsubj,걱정,-2,negative
weaksubj,걱정 같은,-1,negative
weaksubj,걱정 따위로,-1,negative
strongsubj,걱정 없이,2,positive
weaksubj,걱정거리,-1,negative
weaksubj,걱정과,-1,negative
weaksubj,걱정과 근심,-1,negative
weaksubj,걱정되거나,-1,negative
weaksubj,걱정스러워서,-1,negative
weaksubj,걱정스럽거나,-1,negative
weaksubj,걱정스럽거나 조바심이,-1,negative
weaksubj,걱정스럽다,-1,negative
weaksubj,걱정으로,-1,negative
weaksubj,걱정을,-1,negative
weaksubj,걱정이,-1,negative
weaksubj,걱정이 되거나,-1,negative
weaksubj,걱정이 되는,-1,negative
weaksubj,걱정이 되어,-1,negative
strongsubj,걱정이 없고,2,positive
weaksubj,걱정이 없는,1,positive
weaksubj,걱정이나,-1,negative
weaksubj,걱정이나 근심,-1,negative
weaksubj,걱정이나 근심에,-1,negative
strongsubj,걱정이나 언짢은,-2,negative
weaksubj,걱정인 해를,-1,negative
weaksubj,걱정하기는,-1,negative
weaksubj,걱정하기는 하나,-1,negative
weaksubj,걱정하는,-1,negative
weaksubj,걱정하는 게,-1,negative
weaksubj,걱정하다,-1,negative
weaksubj,건강에 긍정적인,1,positive
strongsubj,건강에 좋은,2,positive
strongsubj,건강에 해로운,-2,negative
strongsubj,건강하고,2,positive
strongsubj,건강하고 온전하다,2,positive
strongsubj,건강하고 온전한,2,positive
strongsubj,건강하다,2,positive
strongsubj,건강하여,2,positive
strongsubj,건강하여 아름다운,2,positive
weaksubj,건강하지 못하다,-1,negative
strongsubj,건강한,2,positive
weaksubj,건달처럼,-1,negative
weaksubj,건둥건둥,1,positive
weaksubj,건둥건둥하다,1,positive
weaksubj,건둥반둥하다,-1,negative
weaksubj,건드려 귀찮게,-1,negative
weaksubj,건들거리고,-1,negative
weaksubj,건들거리고 벙글거리며,-1,negative
weaksubj,건들건들,-1,negative
weaksubj,건들건들 지내다,-1,negative
weaksubj,건들대다,-1,negative
weaksubj,건망증이,-1,negative
weaksubj,건망증이 심하며,-1,negative
strongsubj,건방져,-2,negative
strongsubj,건방지게,-2,negative
strongsubj,건방지게 행동하다,-2,negative
strongsubj,건방지네,-2,negative
strongsubj,건방지다,-2,negative
strongsubj,건방지며,-2,negative
weaksubj,건방진,-1,negative
strongsubj,건방짐,-2,negative
weaksubj,건성 기침,-1,negative
weaksubj,건성으로,-1,negative
weaksubj,건성으로 묻다,-1,negative
strongsubj,건장하다,2,positive
strongsubj,건장한,2,positive
strongsubj,건장한 모양,2,positive
strongsubj,건전하고,2,positive
strongsubj,건전하고 착실한,2,positive
weaksubj,건전하지 못하고,-1,negative
weaksubj,건전하지 못한,-1,negative
weaksubj,건전하지 아니하게,-1,negative
strongsubj,건전한,2,positive
strongsubj,건전함,2,positive
strongsubj,건정히,2,positive
weaksubj,걷지 못하고,-1,negative
weaksubj,걷지 못하는,-1,negative
weaksubj,걸리거나,-1,negative
weaksubj,걸리거나 막히는,-1,negative
weaksubj,걸리다,-1,negative
weaksubj,걸리적대다,-1,negative
weaksubj,걸핏하면,-1,negative
strongsubj,검사에 불합격한,-2,negative
weaksubj,검소하다,1,positive
strongsubj,검소한,2,positive
weaksubj,검은 티끌이라는,-1,negative
weaksubj,검질기게 구는,-1,negative
weaksubj,검질기게 굴다,-1,negative
weaksubj,겁,-1,negative
weaksubj,겁나게,-1,negative
weaksubj,겁나게 하기,-1,negative
weaksubj,겁나다,-1,negative
weaksubj,겁내다,-1,negative
weaksubj,겁에,-1,negative
strongsubj,겁에 지리다,-2,negative
strongsubj,겁에 질려,-2,negative
strongsubj,겁에 질려서,-2,negative
strongsubj,겁에 질리거나,-2,negative
weaksubj,겁을,-1,negative
weaksubj,겁을 내거나,-1,negative
weaksubj,겁을 내다,-1,negative
weaksubj,겁을 먹거나,-1,negative
weaksubj,겁을 먹어,-1,negative
weaksubj,겁을 주며,-1,negative
weaksubj,겁이 나거나,-1,negative
weaksubj,겁이 나서,-1,negative
strongsubj,겁이 많고,-2,negative
strongsubj,겁이 많다,-2,negative
strongsubj,겁이 많아,-2,negative
strongsubj,겁이 많은,-2,negative
strongsubj,겁이 많음,-2,negative
weaksubj,겁자기 부서지거나,-1,negative
strongsubj,겁쟁이,-2,negative
weaksubj,것같이 아프다,-1,negative
strongsubj,것보다 낫다,2,positive
weaksubj,것을 샘하여,-1,negative
weaksubj,것을 짓밟다,-1,negative
weaksubj,것이 거북하거나,-1,negative
strongsubj,것이 깨끗하고,2,positive
strongsubj,것이 해결되어,2,positive
weaksubj,겉만 그럴듯한,-1,negative
weaksubj,겉면이 매끄럽고,1,positive
weaksubj,겉모양의 아름다움과,1,positive
weaksubj,겉치레,-1,negative
strongsubj,게걸스럽게,-2,negative
strongsubj,게걸스럽게 돌아다니는,-2,negative
strongsubj,게걸스럽게 돌아다니다,-2,negative
weaksubj,게우는,-1,negative
weaksubj,게우는 소리,-1,negative
weaksubj,게우는 소리가,-1,negative
weaksubj,게울,-1,negative
weaksubj,게울 듯이,-1,negative
weaksubj,게워,-1,negative
weaksubj,게워 내는,-1,negative
weaksubj,게워 내다,-1,negative
weaksubj,게으르거나,-1,negative
weaksubj,게으르게,-1,negative
weaksubj,게으르게 놀며,-1,negative
weaksubj,게으르게 행동하는,-1,negative
weaksubj,게으르게 행동하다,-1,negative
weaksubj,게으르고,-1,negative
weaksubj,게으르다,-1,negative
weaksubj,게으름,-1,negative
weaksubj,게으름을,-1,negative
weaksubj,게으름을 피우며,-1,negative
weaksubj,게으름이,-1,negative
weaksubj,게으름이 나는,-1,negative
weaksubj,게으름이나,-1,negative
weaksubj,게으름이나 싫증,-1,negative
strongsubj,게을러빠지다,-2,negative
strongsubj,게을러터지다,-2,negative
strongsubj,게을리하지 않고,2,positive
weaksubj,겐트위한,-1,negative
weaksubj,겨를이 없음,-1,negative
weaksubj,겨우 빠듯하게,-1,negative
weaksubj,겨우겨우,-1,negative
weaksubj,겨우겨우 살기를,-1,negative
weaksubj,겨운,-1,negative
weaksubj,겨운 일에,-1,negative
strongsubj,격노,-2,negative
strongsubj,격노하다,-2,negative
strongsubj,격동시키다,0,neutral
weaksubj,격려되다,1,positive
weaksubj,격려하다,1,positive
strongsubj,격분,-2,negative
strongsubj,격분하다,-2,negative
